Customer ID,Frequency,Monetary,Tenure,AvgOrderValue,TotalItems,AvgQuantity,UniqueProducts,LastRevenue,StdRevenue,PurchaseSpan,Recency,MaxRevenue,MonthsActive,AvgDaysBetweenPurchases,RevenuePerItem,RevenueConsistency,Churned,Churn_Probability,Risk_Segment
12346,12,77556.46,400,2281.0723529411766,74285,2184.8529411764707,27,77183.6,13234.943417912516,401,326,77183.6,5,33.416666666666664,1.04403930807027,5.802070855335913,1,0.67316294,High Risk
12608,1,415.79,0,25.986875,323,20.1875,16,0.95,39.97519843081874,1,405,162.24,1,1.0,1.2872755417956656,1.5382841696363545,1,0.8826881,High Risk
12745,2,723.85,87,32.90227272727273,467,21.227272727272727,20,59.400000000000006,24.64142967632979,88,487,102.0,2,44.0,1.55,0.748927889589356,1,0.88359964,High Risk
12746,1,254.55,0,14.973529411764707,97,5.705882352941177,17,12.600000000000001,1.6920879896464853,1,541,17.700000000000003,1,1.0,2.6242268041237113,0.11300528707126399,1,0.96857685,High Risk
12747,26,8898.48,730,35.73686746987951,2640,10.602409638554217,85,35.400000000000006,44.54727202631376,731,2,381.6,18,28.115384615384617,3.3706363636363634,1.246535445890998,0,0.0061111245,Low Risk
12748,336,53539.64,734,8.130545178435838,37109,5.635383447228549,2286,4.95,26.48289672212001,735,1,850.5,25,2.1875,1.4427669837505726,3.257210450334748,0,0.0022904715,Low Risk
12749,9,6897.36,517,20.40639053254438,2360,6.982248520710059,260,15.0,10.556225243150307,518,4,114.75,7,57.55555555555556,2.9226101694915254,0.5172999716101239,0,0.33378848,Medium Risk
12777,1,519.45,0,19.978846153846156,458,17.615384615384617,26,17.700000000000003,6.462061173912286,1,458,31.5,1,1.0,1.134170305676856,0.32344516415770413,1,0.8106274,High Risk
12819,1,540.52,0,28.448421052631577,344,18.105263157894736,19,35.400000000000006,20.120522763022585,1,458,90.0,1,1.0,1.571279069767442,0.7072632511237866,1,0.82783574,High Risk
12820,11,2689.52,731,16.915220125786163,1964,12.352201257861635,131,15.0,6.841782545550908,732,3,53.1,11,66.54545454545455,1.3694093686354378,0.4044749340932934,0,0.003938055,Low Risk
12821,2,220.8,397,16.984615384615385,162,12.461538461538462,13,17.0,5.431495520548976,398,214,30.0,2,199.0,1.362962962962963,0.31978913843811907,1,0.5493167,Medium Risk
12822,2,948.88,16,20.62782608695652,550,11.956521739130435,41,29.880000000000003,14.571163594662421,17,71,102.0,1,8.5,1.7252363636363637,0.706383868723623,0,0.47573447,Medium Risk
12823,18,6501.5,604,361.19444444444446,930,51.666666666666664,1,535.5,176.8827410601931,605,75,765.0,12,33.611111111111114,6.990860215053764,0.48971611767799367,0,0.26172507,Low Risk
12824,1,397.12,0,15.8848,232,9.28,25,9.959999999999999,8.947605415230752,1,60,47.7,1,1.0,1.7117241379310344,0.5632809613738134,0,0.43510813,Medium Risk
12825,2,518.63,120,21.609583333333333,139,5.791666666666667,20,63.8,11.810707551299322,121,521,63.8,2,60.5,3.7311510791366906,0.5465495270832457,1,0.90875626,High Risk
12826,12,2800.75,718,17.839171974522294,1915,12.197452229299364,93,7.5,11.45607833074806,719,3,94.80000000000001,10,59.916666666666664,1.4625326370757181,0.642186663546352,0,0.003771927,Low Risk
12827,3,430.15000000000003,38,17.206000000000003,197,7.88,19,12.5,8.320543852417341,39,6,44.550000000000004,3,13.0,2.183502538071066,0.48358385751582816,0,0.35528973,Medium Risk
12828,6,1018.71,127,18.19125,494,8.821428571428571,46,14.22,9.187188522858637,128,3,45.9,4,21.333333333333332,2.062165991902834,0.5050333826899547,0,0.4165637,Medium Risk
12829,3,385.3,213,20.278947368421054,550,28.94736842105263,17,13.5,17.77394156709224,214,337,79.9,3,71.33333333333333,0.7005454545454546,0.8764725922002402,1,0.7488383,High Risk
12830,6,6814.64,134,179.33263157894737,9848,259.1578947368421,13,167.04,134.07934370776076,135,38,587.52,4,22.5,0.6919821283509342,0.7476572586218654,0,0.4426041,Medium Risk
12831,3,451.11,200,20.505,303,13.772727272727273,16,16.5,7.464989873370479,201,262,42.0,2,67.0,1.4888118811881188,0.364057053078297,1,0.7470172,High Risk
12832,2,383.03,65,14.186296296296295,195,7.222222222222222,27,17.85,3.5025311157110677,66,32,19.8,2,33.0,1.9642564102564102,0.24689538710857853,0,0.82457423,High Risk
12833,1,417.38,0,17.390833333333333,156,6.5,24,15.299999999999999,5.030143845005755,1,145,27.04,1,1.0,2.6755128205128207,0.2892411047010832,1,0.75981516,High Risk
12834,1,312.38,0,17.354444444444443,110,6.111111111111111,18,19.8,4.183209044321924,1,283,25.200000000000003,1,1.0,2.8398181818181816,0.2410454023874596,1,0.78180766,High Risk
12835,41,5996.83,308,9.750943089430894,2349,3.819512195121951,138,9.95,10.317020743627646,309,428,95.25,11,7.536585365853658,2.552928905917412,1.0580536312236635,1,0.6665287,High Risk
12836,15,6559.7300000000005,679,15.960413625304138,2231,5.428223844282239,280,19.9,17.497974142648328,680,59,153.0,14,45.333333333333336,2.9402644554011657,1.0963358816031241,0,0.009547989,Low Risk
12837,2,662.66,396,7.530227272727273,194,2.2045454545454546,83,4.949999999999999,6.7862748533002275,397,173,39.9,2,198.5,3.4157731958762887,0.9012045197996258,1,0.70138407,High Risk
12838,10,2975.91,559,8.359297752808988,1606,4.51123595505618,230,4.75,15.818912065691478,560,34,183.6,8,56.0,1.8529950186799502,1.8923733229117032,0,0.06866829,Low Risk
12839,26,9669.12,730,17.453285198555957,6578,11.873646209386282,156,15.0,9.99053061789081,731,3,93.0,19,28.115384615384617,1.4699179081787779,0.5724154796208454,0,0.0032220953,Low Risk
12840,7,4041.97,530,22.965738636363636,2258,12.829545454545455,109,16.5,13.057997418982584,531,144,101.76,7,75.85714285714286,1.7900664304694418,0.5685859978527636,1,0.44762686,Medium Risk
12841,40,6958.2,514,10.804658385093168,5008,7.77639751552795,307,5.0,10.639561055215527,515,5,107.28,18,12.875,1.3894169329073482,0.9847198010345778,0,0.04078167,Low Risk
12842,4,1917.99,667,39.958125,887,18.479166666666668,45,70.80000000000001,48.804931197324024,668,70,306.0,4,167.0,2.1623337091319055,1.2214019350838914,0,0.007911643,Low Risk
12843,30,6583.36,661,30.061004566210045,3028,13.826484018264841,130,9.95,40.191210811683106,662,66,333.0,15,22.066666666666666,2.1741611624834873,1.336988280719663,0,0.00671725,Low Risk
12844,4,648.6,564,6.297087378640777,223,2.1650485436893203,88,6.75,4.717355862708194,565,29,19.9,4,141.25,2.9085201793721973,0.7491329846730558,0,0.17331764,Low Risk
12845,4,354.09,22,13.114444444444443,204,7.555555555555555,26,73.5,41.46181119029277,23,267,208.79999999999998,2,5.75,1.735735294117647,3.1615377506789373,1,0.7779149,High Risk
12846,1,15.58,0,15.58,1,1.0,1,15.58,0.0,1,682,15.58,1,1.0,15.58,0.0,1,0.9774045,High Risk
12847,2,1609.0,365,13.521008403361344,1497,12.579831932773109,100,25.0,16.235517739285083,366,22,106.0,2,183.0,1.074816299265197,1.2007623436761496,0,0.25095826,Low Risk
12848,1,208.0,0,13.0,58,3.625,16,2.5,7.648289569134614,1,676,29.5,1,1.0,3.586206896551724,0.5883299668565087,1,0.944104,High Risk
12849,6,3042.47,559,21.12826388888889,1855,12.881944444444445,123,100.0,17.977421788666973,560,31,100.0,5,93.33333333333333,1.6401455525606468,0.8508707522401352,0,0.10752629,Low Risk
12850,1,330.0,0,165.0,200,100.0,2,165.0,0.0,1,446,165.0,1,1.0,1.65,0.0,1,0.66657573,High Risk
12851,2,280.76,380,3.6462337662337663,157,2.038961038961039,71,3.4799999999999995,3.9142677741554945,381,97,25.5,2,190.5,1.78828025477707,1.073509825509236,1,0.6185658,High Risk
12852,1,311.55,0,18.326470588235296,149,8.764705882352942,17,25.5,5.111357379865535,1,295,34.8,1,1.0,2.0909395973154363,0.278905714837792,1,0.87685657,High Risk
12853,11,3907.5,537,26.402027027027028,1668,11.27027027027027,111,47.7,20.303550909549774,538,135,175.2,7,48.90909090909091,2.3426258992805757,0.7690148521083471,1,0.5480384,Medium Risk
12854,7,2970.9700000000003,649,11.383026819923373,1630,6.245210727969349,188,34.65,11.56075794507707,650,79,135.2,6,92.85714285714286,1.8226809815950922,1.0156136964241023,0,0.0048858044,Low Risk
12855,4,612.84,29,9.146865671641791,240,3.582089552238806,65,10.2,20.20466306880931,30,373,165.0,2,7.5,2.5535,2.2089165615988247,1,0.86203444,High Risk
12856,6,2170.78,55,6.98,1076,3.459807073954984,155,1.65,6.436329248379729,56,8,49.92,3,9.333333333333334,2.0174535315985134,0.9221102075042591,0,0.104409754,Low Risk
12857,6,3688.0,472,30.479338842975206,1420,11.735537190082646,71,35.7,38.96979581965879,473,211,306.0,6,78.83333333333333,2.5971830985915494,1.2785643422393476,1,0.73774976,High Risk
12858,1,147.27,0,3.9802702702702706,51,1.3783783783783783,36,3.75,3.8235727086402136,1,383,19.95,1,1.0,2.8876470588235295,0.9606314267650431,1,0.91474634,High Risk
12859,1,575.1,0,27.385714285714286,292,13.904761904761905,21,20.4,16.00803035086721,1,459,58.5,1,1.0,1.9695205479452056,0.5845394494317708,1,0.8253809,High Risk
12860,1,54.22,0,3.38875,26,1.625,16,1.65,3.6374292662080276,1,693,12.75,1,1.0,2.085384615384615,1.073383774609525,1,0.8643566,High Risk
12861,1,68.25,0,17.0625,27,6.75,4,15.9,3.41256868062754,1,620,19.799999999999997,1,1.0,2.5277777777777777,0.2000040252382441,1,0.8563981,High Risk
12862,2,984.62,69,7.51618320610687,611,4.66412213740458,119,11.8,6.611548690681651,70,426,40.8,2,35.0,1.6114893617021278,0.8796417688847437,1,0.64749783,High Risk
12863,6,2792.5499999999997,537,58.178124999999994,895,18.645833333333332,24,72.0,84.45361871128348,538,52,408.0,6,89.66666666666667,3.120167597765363,1.451638716635909,0,0.18400873,Low Risk
12864,2,299.57,369,42.79571428571428,447,63.857142857142854,5,119.52,45.977659015781,370,138,119.52,2,185.0,0.6701789709172259,1.074351948160587,1,0.7455243,High Risk
12867,13,7829.26,696,7.456438095238095,7876,7.500952380952381,365,27.04,6.581761963328817,697,26,74.7,13,53.61538461538461,0.9940655154900965,0.8826951795565938,0,0.0050597438,Low Risk
12868,8,2043.76,207,15.251940298507463,1170,8.73134328358209,86,25.0,5.563633052986925,208,186,31.6,6,26.0,1.7468034188034187,0.3647819847243551,1,0.45244288,Medium Risk
12869,1,337.66999999999996,0,9.126216216216216,144,3.891891891891892,35,81.6,13.863766193320739,1,682,81.6,1,1.0,2.344930555555555,1.5191143695112606,1,0.8807781,High Risk
12870,3,1676.95,248,18.031720430107526,906,9.741935483870968,85,17.4,16.521441577252162,249,375,125.0,3,83.0,1.8509381898454746,0.9162432193472978,1,0.76784146,High Risk
12871,3,744.02,355,41.33444444444444,484,26.88888888888889,13,5.04,47.95609894626324,356,84,163.2,3,118.66666666666667,1.5372314049586777,1.160197012221094,0,0.3699034,Medium Risk
12872,12,3283.96,409,8.33492385786802,1642,4.16751269035533,217,0.95,8.844975464132654,410,327,64.9,12,34.166666666666664,1.9999756394640682,1.0611945129868408,1,0.5907901,Medium Risk
12873,3,2027.3,399,57.92285714285714,786,22.457142857142856,33,102.0,46.46509813330663,400,282,196.20000000000002,3,133.33333333333334,2.579262086513995,0.8021893329382589,1,0.48323038,Medium Risk
12875,5,1356.99,554,169.62375,5187,648.375,2,49.470000000000006,75.87093362838537,555,143,293.76000000000005,5,111.0,0.26161364950838634,0.44728956663430314,1,0.7476544,High Risk
12877,20,2942.14,687,10.737737226277371,2237,8.164233576642335,149,34.0,11.270156285514757,688,4,79.2,18,34.4,1.3152168082253017,1.0495839158677165,0,0.0038291044,Low Risk
12878,2,854.99,29,18.191276595744682,547,11.638297872340425,38,19.799999999999997,6.617481662404997,30,236,30.599999999999998,2,15.0,1.563053016453382,0.36377225246264266,1,0.64170825,High Risk
12879,3,573.22,47,57.322,370,37.0,7,18.96,56.14766519336905,48,45,183.6,2,16.0,1.5492432432432433,0.9795133664800434,0,0.37223655,Medium Risk
12880,2,640.13,192,17.781388888888888,279,7.75,32,23.8,5.663815550254227,193,382,35.7,2,96.5,2.294372759856631,0.31852492432654644,1,0.8465048,High Risk
12881,1,298.0,0,42.57142857142857,21,3.0,7,19.8,67.25485643643673,1,276,195.0,1,1.0,14.19047619047619,1.5798120639431446,1,0.8699946,High Risk
12882,2,1463.04,24,112.54153846153847,246,18.923076923076923,12,141.6,61.75429078832685,25,9,283.2,1,12.5,5.947317073170732,0.5487244232886653,0,0.6478883,High Risk
12883,4,703.47,64,16.749285714285715,196,4.666666666666667,39,25.0,4.118723098868968,65,25,29.700000000000003,2,16.25,3.5891326530612244,0.2459044026788586,0,0.40561005,Medium Risk
12884,1,309.05,0,44.15,43,6.142857142857143,7,31.8,55.695937912921444,1,88,170.0,1,1.0,7.187209302325582,1.2615161475180396,0,0.57438123,Medium Risk
12885,3,1175.22,60,16.552394366197184,655,9.225352112676056,66,10.4,6.173301609069431,61,63,46.8,2,20.333333333333332,1.7942290076335878,0.3729552034886486,0,0.29155222,Low Risk
